,8-Jul-20,9-Jul-20,10-Jul-20,11-Jul-20,12-Jul-20,13-Jul-20,14-Jul-20,15-Jul-20,16-Jul-20,17-Jul-20,18-Jul-20,19-Jul-20,20-Jul-20,21-Jul-20,22-Jul-20,23-Jul-20,24-Jul-20,25-Jul-20,26-Jul-20,27-Jul-20,28-Jul-20,29-Jul-20,30-Jul-20,31-Jul-20,1-Aug-20,2-Aug-20,3-Aug-20,4-Aug-20,5-Aug-20,6-Aug-20,7-Aug-20,8-Aug-20,9-Aug-20,10-Aug-20,11-Aug-20,12-Aug-20,13-Aug-20,14-Aug-20,15-Aug-20,16-Aug-20,17-Aug-20,18-Aug-20,19-Aug-20,20-Aug-20,21-Aug-20,22-Aug-20,23-Aug-20,24-Aug-20,25-Aug-20,26-Aug-20,27-Aug-20,28-Aug-20,29-Aug-20,30-Aug-20,31-Aug-20,1-Sep-20,2-Sep-20,3-Sep-20,4-Sep-20,5-Sep-20,6-Sep-20,7-Sep-20,8-Sep-20,9-Sep-20,10-Sep-20,11-Sep-20,12-Sep-20,13-Sep-20,14-Sep-20,15-Sep-20,16-Sep-20,17-Sep-20,18-Sep-20,19-Sep-20,20-Sep-20,21-Sep-20,22-Sep-20,23-Sep-20,24-Sep-20,25-Sep-20,26-Sep-20,27-Sep-20,28-Sep-20,29-Sep-20,30-Sep-20,1-Oct-20,2-Oct-20,3-Oct-20,4-Oct-20,5-Oct-20,6-Oct-20,7-Oct-20,8-Oct-20,9-Oct-20,10-Oct-20,11-Oct-20,12-Oct-20,13-Oct-20,14-Oct-20,15-Oct-20,16-Oct-20,17-Oct-20,18-Oct-20,19-Oct-20,20-Oct-20,21-Oct-20,22-Oct-20,23-Oct-20,24-Oct-20,25-Oct-20,26-Oct-20,27-Oct-20,28-Oct-20,29-Oct-20,30-Oct-20,31-Oct-20,1-Nov-20,2-Nov-20,3-Nov-20,4-Nov-20,5-Nov-20,6-Nov-20,7-Nov-20,8-Nov-20,9-Nov-20,10-Nov-20,11-Nov-20,12-Nov-20,13-Nov-20,14-Nov-20,15-Nov-20,16-Nov-20,17-Nov-20,18-Nov-20,19-Nov-20,20-Nov-20,21-Nov-20,22-Nov-20,23-Nov-20,24-Nov-20,25-Nov-20,26-Nov-20,27-Nov-20,28-Nov-20,29-Nov-20,30-Nov-20,1-Dec-20,2-Dec-20,3-Dec-20,4-Dec-20,5-Dec-20,6-Dec-20,7-Dec-20,8-Dec-20,9-Dec,10-Dec-20,11-Dec-20,12-Dec-20,13-Dec-20,14-Dec-20,15-Dec-20
Dhaka (District),6,23,98,9,23,51,25,33,24,19,26,7,26,27,24,21,23,8,19,16,22,11,10,19,27,0,2,5,12,21,19,10,12,26,32,14,26,18,7,33,15,9,37,29,33,12,16,35,20,19,60,17,12,31,17,27,23,16,31,20,8,16,20,14,20,11,28,10,17,11,9,18,15,15,13,13,7,33,12,14,23,8,21,24,16,10,13,4,10,3,22,12,7,6,22,4,21,4,30,17,15,31,5,11,17,19,24,13,13,0,14,21,11,24,19,7,5,27,15,10,8,14,20,15,17,29,26,10,24,4,16,4,9,15,18,24,15,20,10,7,21,14,19,20,4,24,12,26,23,29,13,8,12,10,10,18,14,0,10,12,1
Gazipur,69,13,34,19,16,26,2,39,29,13,21,26,32,26,12,24,10,7,17,5,26,18,14,8,20,8,2,8,22,25,23,11,14,27,23,23,36,30,17,3,9,22,26,26,37,29,10,34,37,24,33,29,26,11,82,37,40,31,27,34,0,17,17,18,32,15,27,3,8,25,13,16,12,13,3,22,6,5,12,11,13,2,13,12,17,7,9,9,1,13,12,6,6,16,11,2,11,7,5,8,10,10,7,12,10,8,7,10,9,2,14,8,0,9,14,21,4,12,2,30,33,18,19,2,26,16,11,15,16,8,6,15,18,25,25,23,30,14,41,25,55,24,10,67,10,32,37,39,29,25,15,5,31,27,27,26,11,12,15,25,17
Kishoreganj,14,10,21,19,12,10,19,9,14,9,13,23,16,14,13,18,11,12,13,14,18,7,23,23,10,0,21,14,18,9,15,18,16,11,25,24,9,11,17,20,54,15,16,21,11,26,27,6,12,26,8,6,11,17,14,14,8,10,7,9,6,10,11,12,16,7,8,8,10,7,7,6,11,8,5,9,9,22,4,8,8,7,6,11,12,3,5,12,1,10,8,4,4,7,7,1,18,13,10,13,4,0,11,10,2,4,14,7,8,2,8,6,2,9,8,3,19,9,6,11,6,4,14,8,6,5,13,11,9,5,5,18,7,5,6,3,13,5,12,7,2,10,8,11,2,7,4,9,6,4,3,2,7,6,4,2,8,5,9,8,1
Madaripur,3,29,6,17,0,26,0,62,17,7,0,18,2,18,0,11,2,25,0,6,19,4,26,0,0,0,18,0,0,0,12,0,0,13,9,0,0,17,0,0,0,17,0,9,12,0,0,15,14,0,4,3,14,0,6,0,9,0,20,0,16,0,7,0,3,0,0,6,4,0,5,0,0,7,9,0,1,0,6,0,7,0,5,0,0,4,2,0,0,0,4,0,0,2,0,3,1,0,0,4,2,0,0,3,2,0,1,0,0,0,1,0,0,1,0,3,2,0,0,0,0,3,0,4,1,0,0,0,0,0,13,0,8,3,0,0,10,0,2,0,0,0,7,7,2,0,0,0,7,0,1,10,4,2,2,6,1,6,0,3,0
Manikganj,0,0,73,12,0,0,15,14,19,0,20,25,0,20,11,4,0,0,0,18,0,5,1,0,0,0,0,25,0,4,9,0,0,0,28,0,0,0,55,0,0,35,0,56,0,0,0,0,20,0,0,50,0,0,68,16,0,7,9,8,0,34,5,17,7,8,19,0,18,3,6,2,22,21,0,39,3,11,10,4,5,0,4,2,2,1,0,0,0,0,2,2,2,3,13,0,3,1,3,9,5,0,0,0,7,4,1,3,4,0,1,2,0,4,0,4,0,0,7,4,5,1,0,0,0,3,1,0,1,0,0,1,5,3,4,0,0,3,3,1,5,0,4,0,1,3,7,12,2,10,0,4,7,10,7,3,8,0,9,2,3
Narayanganj,39,33,45,37,23,30,26,42,15,23,21,22,16,15,7,16,5,11,9,5,14,24,17,18,17,0,7,8,22,21,12,25,14,8,20,20,14,27,5,19,14,21,14,19,35,12,14,4,14,16,20,16,14,9,11,42,15,19,12,15,14,13,17,10,7,14,24,6,4,11,28,11,4,8,7,6,10,13,5,19,12,12,4,5,10,28,9,9,8,13,13,18,11,12,9,3,19,19,5,12,22,10,11,11,15,21,21,10,5,9,14,20,9,11,12,6,18,18,14,12,8,17,14,13,18,28,15,18,20,23,19,16,34,48,31,21,18,36,25,34,31,30,29,16,19,35,33,54,38,28,18,33,35,35,41,31,17,20,26,36,25
Munshigonj,8,50,15,30,5,47,27,20,20,21,29,5,15,12,11,3,25,17,3,25,28,8,30,0,0,0,18,14,8,20,13,13,17,0,29,19,8,16,33,33,0,6,23,21,0,16,24,3,23,29,0,29,21,25,1,26,2,7,27,16,8,5,10,21,20,2,23,5,0,12,12,10,15,5,13,0,9,12,0,0,16,7,0,2,10,9,0,13,11,0,6,5,6,1,10,0,8,0,11,22,7,4,4,0,10,8,8,1,8,20,1,0,15,11,15,0,21,0,11,4,24,5,0,18,0,10,10,14,0,17,2,0,8,3,40,8,11,26,0,11,1,0,37,19,0,2,41,14,8,20,14,13,7,13,34,15,27,8,10,10,15
Narshingdi,11,20,4,18,3,7,9,17,11,11,7,7,11,23,7,21,4,9,5,4,12,8,11,7,5,3,0,4,2,3,0,13,7,24,9,13,6,24,0,20,12,13,10,14,9,16,3,14,10,15,10,10,12,7,24,12,21,13,6,31,5,18,9,39,3,2,13,4,3,2,2,4,4,4,2,5,4,3,6,14,7,0,9,7,4,5,6,5,2,5,10,4,7,4,6,3,6,4,4,1,5,5,1,5,5,1,5,6,7,1,11,2,6,7,5,8,4,2,9,4,3,4,6,2,5,10,5,6,7,5,5,5,4,9,13,3,4,2,11,5,9,8,6,4,4,4,6,11,3,1,8,2,11,1,7,5,9,0,1,3,3
Rajbari,40,11,27,21,0,40,0,30,23,34,0,29,23,30,39,35,37,0,64,41,0,37,44,39,0,45,0,79,0,20,62,35,142,0,0,70,88,73,0,102,92,0,36,129,57,59,28,31,0,63,35,40,41,34,37,0,50,0,55,32,51,18,0,28,22,21,22,5,13,0,16,11,13,11,9,20,0,6,9,11,7,9,6,0,4,14,10,0,9,5,0,4,0,7,0,9,0,5,0,12,0,9,3,0,6,0,0,11,0,0,5,2,0,9,0,3,5,0,0,5,0,5,0,0,10,1,0,8,0,0,4,6,0,3,0,13,0,11,0,12,0,12,0,10,0,8,0,7,0,22,0,0,10,6,0,11,0,2,0,8,0
Faridpur,114,110,113,118,129,117,89,122,45,65,180,66,73,123,91,72,68,58,34,89,43,80,49,55,78,18,20,62,70,59,96,79,14,112,117,77,57,112,65,24,66,61,43,61,59,53,20,52,60,43,45,0,0,0,0,60,94,33,42,28,1,34,70,35,21,34,44,14,31,10,15,34,17,20,10,22,19,12,19,29,12,3,12,19,18,10,17,11,7,5,9,13,5,13,10,8,9,4,12,12,13,13,3,11,9,6,9,10,8,3,7,4,4,13,19,6,3,18,13,14,41,15,14,0,11,12,14,12,7,6,4,15,16,5,11,8,15,4,11,8,8,21,13,14,1,14,15,10,9,20,20,3,16,16,19,15,11,11,6,12,20
Tangail,44,15,31,7,25,50,34,31,12,56,14,28,49,36,46,0,77,55,0,60,52,41,38,44,8,44,0,7,25,20,51,42,2,33,20,49,0,67,54,9,28,36,46,41,37,45,7,45,25,43,26,43,26,7,70,11,53,22,45,36,1,40,20,24,8,27,5,0,26,16,22,5,30,15,0,17,6,17,11,22,0,0,24,11,15,15,3,3,0,10,5,4,10,4,6,0,18,5,4,7,11,4,1,5,5,7,5,5,2,0,7,3,1,10,5,2,0,15,5,12,15,8,8,0,12,6,9,4,6,1,0,18,6,10,8,15,1,0,9,4,6,4,8,4,2,9,4,2,10,13,3,0,16,3,8,7,11,2,0,11,16
Shariatpur,0,31,0,0,34,22,0,23,0,39,0,37,0,34,0,37,0,29,0,15,0,33,0,0,1,33,0,25,0,13,0,62,0,52,0,47,0,42,0,40,0,0,17,36,0,24,0,25,0,17,0,18,0,22,0,7,0,11,0,11,0,14,0,8,0,11,0,13,0,17,0,13,0,6,0,0,0,18,0,5,0,15,0,0,3,9,0,0,5,8,0,2,0,3,0,7,0,1,0,7,0,0,14,8,5,0,0,7,0,0,4,0,0,3,0,5,3,0,0,2,0,2,0,0,4,7,0,5,0,0,4,1,0,1,0,4,0,0,5,0,0,1,0,4,0,6,0,0,0,2,0,0,7,1,0,0,0,6,0,8,0
Gopalganj,27,29,33,15,31,37,24,42,23,30,18,42,30,30,34,32,33,16,39,35,37,28,47,50,0,0,14,17,28,27,48,28,10,32,39,37,30,40,38,27,30,19,31,32,32,13,18,26,12,16,17,0,0,0,0,33,0,0,0,23,11,36,9,13,8,10,11,6,8,0,21,8,4,2,1,4,4,4,0,7,6,2,6,7,6,1,7,5,0,6,9,5,5,4,3,0,1,0,6,4,0,3,0,4,0,8,0,3,3,3,2,8,0,6,8,5,0,4,5,6,6,3,3,5,4,13,4,9,5,10,2,4,1,4,5,8,4,9,7,16,6,4,7,7,2,7,9,3,6,6,0,3,8,6,11,6,5,5,5,5,2
Chattogram,295,259,162,192,105,107,167,167,399,159,180,85,173,152,133,134,157,126,70,169,108,117,120,125,112,30,9,17,119,121,128,117,73,160,118,149,66,118,100,34,36,128,145,97,89,83,32,105,88,76,74,104,88,26,72,58,82,107,63,61,22,71,74,54,53,53,49,51,75,73,76,43,67,60,25,52,56,77,63,53,43,26,56,44,66,54,90,57,39,71,67,65,79,100,87,44,90,60,101,74,90,82,55,91,76,78,110,94,81,32,92,96,43,98,91,92,32,82,80,80,96,86,94,63,103,108,107,113,108,146,63,181,157,178,161,197,145,64,242,183,106,223,206,188,68,291,199,260,231,240,198,147,233,213,192,185,179,144,78,193,285
Cox’s bazar,44,22,44,20,10,25,20,35,15,16,41,2,20,17,13,12,23,19,13,12,21,14,26,23,19,20,2,40,15,27,24,33,20,31,35,25,6,26,21,13,11,40,19,33,17,27,23,10,19,19,31,17,28,14,5,14,27,38,9,25,19,25,32,47,48,11,32,17,33,23,16,18,12,26,47,12,26,38,29,10,17,11,10,15,9,8,16,6,18,8,28,10,12,4,2,10,7,10,15,1,6,3,14,26,23,16,14,37,12,11,5,22,27,16,27,25,6,5,6,21,16,5,19,11,7,15,10,26,17,1,10,8,1,13,16,12,4,2,16,14,6,20,14,9,13,12,17,12,2,4,4,6,11,11,10,7,9,7,1,10,7
Comilla,61,81,57,86,54,110,91,50,83,67,49,0,99,40,47,30,47,31,65,35,72,80,47,52,47,22,48,18,30,55,48,47,49,44,71,45,75,34,49,52,44,45,46,73,50,41,48,9,42,45,42,30,24,38,24,41,13,33,18,16,26,35,32,34,28,18,19,25,37,31,21,18,20,16,21,17,22,17,26,26,16,9,19,13,9,13,28,17,9,10,15,23,14,18,10,9,9,25,14,10,15,13,24,8,30,23,13,9,12,20,12,10,11,4,21,24,7,22,16,23,21,14,18,19,18,17,24,7,26,32,3,16,21,14,29,22,23,3,29,46,34,8,41,38,16,12,26,4,3,11,22,0,8,24,52,22,19,14,18,4,14
B. Baria,54,60,22,54,30,4,0,73,1,98,21,49,0,34,1,26,14,17,16,0,6,40,0,14,0,20,8,0,0,4,10,23,12,27,4,23,4,11,23,8,33,3,9,5,12,13,15,26,5,33,0,18,0,18,0,13,0,0,23,0,37,0,9,0,0,7,16,1,8,4,0,7,1,0,4,7,5,0,1,9,0,14,0,1,0,0,7,0,3,0,0,0,0,4,0,0,3,0,0,0,3,0,8,0,2,0,0,8,0,1,6,0,0,0,3,0,8,0,0,0,7,1,0,0,1,11,0,6,0,0,4,0,17,0,0,30,0,4,0,16,0,17,1,0,5,13,1,1,12,1,0,1,0,27,0,5,6,2,0,3,13
Khagrachari,0,2,13,0,35,0,16,0,27,0,20,0,9,0,17,0,19,2,5,13,15,0,21,0,12,0,5,0,0,0,18,0,0,11,3,0,12,0,9,0,9,0,8,0,0,6,0,8,0,3,0,0,7,0,0,8,0,0,7,0,0,5,0,5,0,4,0,2,0,0,6,0,2,0,2,0,0,0,2,8,0,0,0,3,2,0,0,0,1,0,0,5,0,2,0,6,0,0,8,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,7,0,0,0,0,4,0,0,0,5,2,0,10,0,0,4,0,6,0,3,0,10,0,0,0,0
Laksmipur,0,6,27,27,32,21,8,26,23,26,13,0,16,29,16,10,0,30,0,25,15,22,16,0,53,0,18,0,7,30,29,26,0,46,49,39,35,6,26,0,25,19,17,9,11,21,0,2,30,12,18,12,12,0,9,15,22,19,11,15,0,9,17,9,3,4,5,0,7,0,19,5,2,0,6,6,0,4,6,4,5,0,6,4,1,0,4,4,0,0,8,1,0,0,8,0,2,2,2,1,0,3,0,4,0,0,1,11,4,0,0,3,0,0,1,0,3,2,3,0,2,1,0,2,1,0,1,0,3,0,2,0,4,8,0,0,0,4,6,1,0,8,2,0,0,5,4,2,3,0,4,0,1,5,3,0,2,3,0,3,7
Bandarban,19,0,11,16,3,11,9,6,0,7,5,0,0,1,7,2,1,3,6,1,2,5,5,2,12,0,0,4,5,19,4,7,2,4,2,9,1,5,5,6,4,8,0,3,7,1,4,4,7,5,0,2,5,8,0,2,2,5,9,1,1,1,2,5,3,0,6,8,6,6,4,0,0,7,1,0,8,2,2,2,2,0,1,0,0,5,0,4,4,1,2,0,0,0,2,0,0,0,2,1,0,2,3,2,0,1,3,0,0,1,0,0,1,2,0,0,0,1,0,0,0,2,0,1,9,0,1,8,0,0,0,0,0,3,2,1,1,2,0,1,0,3,2,9,1,0,3,0,0,0,0,0,0,0,0,0,0,14,0,0,0
Rangamati,7,4,22,0,24,0,9,0,18,0,26,0,16,0,32,0,33,0,14,1,11,0,18,0,31,0,6,0,0,0,20,0,0,15,8,0,14,13,0,10,12,0,8,16,6,0,3,13,3,2,4,9,13,0,3,0,9,6,4,1,0,4,4,3,3,1,1,1,3,3,2,5,2,1,0,3,2,1,5,0,1,0,0,0,3,2,3,1,0,1,2,1,2,2,0,0,0,4,1,2,1,2,0,0,3,2,0,0,0,0,0,1,0,1,0,0,4,1,1,2,0,2,0,0,7,1,4,3,6,3,0,2,10,2,8,9,5,0,6,3,5,1,1,6,0,11,6,2,2,10,1,0,3,8,4,10,6,4,0,7,4
Noakhali,38,38,40,47,27,27,30,35,32,20,39,26,22,21,43,30,21,85,22,22,36,31,33,40,51,5,1,9,78,73,63,57,25,85,100,50,51,68,91,6,25,50,49,54,41,46,24,47,47,36,33,52,25,3,57,16,52,31,42,21,7,23,9,28,17,14,18,3,18,7,18,10,10,10,0,9,12,6,13,12,7,0,8,8,4,2,8,3,2,3,7,8,4,10,5,0,2,9,3,5,4,6,1,0,7,2,14,4,1,0,4,1,9,8,7,1,2,6,3,1,1,7,10,1,3,4,6,8,13,4,0,7,6,6,11,13,7,3,17,11,8,2,3,0,23,15,20,7,13,6,16,8,11,9,4,5,10,11,9,6,15
Feni,30,22,14,29,6,14,11,15,9,0,0,0,32,11,16,0,20,52,10,16,23,22,25,10,28,22,0,0,6,14,24,16,0,15,14,29,22,0,29,0,10,13,17,19,19,11,4,12,17,17,6,4,7,0,5,10,0,10,12,1,17,8,18,4,8,5,5,0,10,4,8,4,7,4,0,7,6,8,3,10,1,0,6,2,3,4,6,2,2,6,2,1,7,4,5,1,2,6,5,9,2,0,1,4,4,4,3,3,2,0,5,7,2,0,8,2,0,3,7,4,5,6,2,0,7,2,3,7,3,6,1,9,4,3,5,1,2,6,8,5,5,0,1,0,19,8,10,11,4,4,13,2,8,11,2,6,2,0,9,4,2
Chandpur,86,7,37,5,15,34,14,42,25,16,40,35,4,28,30,51,7,17,38,51,3,9,91,32,13,14,8,3,11,8,15,20,0,15,9,17,1,12,21,8,14,29,11,17,7,8,3,4,9,4,5,6,5,7,5,3,9,2,11,3,1,6,9,5,4,3,8,4,6,7,7,8,3,9,6,7,8,5,5,14,2,1,6,1,0,8,5,2,1,3,5,1,1,1,3,2,3,5,0,2,3,1,2,1,0,5,0,2,7,0,8,7,8,6,3,1,0,16,13,9,7,6,7,0,8,6,5,2,4,5,0,9,5,7,4,6,3,0,7,2,4,3,3,8,0,6,6,4,5,3,2,1,6,2,4,6,5,5,1,4,5
Sylhet,58,40,41,34,28,55,50,43,53,52,86,21,70,122,91,74,89,58,48,48,46,43,35,37,63,55,54,50,21,41,69,39,42,34,90,44,31,66,22,47,46,28,91,37,72,61,20,49,58,56,47,48,44,34,63,40,53,41,62,62,49,66,65,37,64,53,48,32,48,38,28,37,35,29,14,34,38,27,21,25,18,10,33,30,15,5,14,15,17,27,20,21,7,68,26,23,18,20,23,43,33,8,6,20,46,18,18,37,20,24,37,31,26,23,42,30,33,42,20,21,12,23,22,30,20,55,33,26,31,34,17,25,34,27,22,20,11,15,30,42,26,34,29,20,20,28,24,31,21,29,26,6,28,11,31,29,44,37,17,29,41
Sunamganj,15,18,16,10,8,4,18,14,29,14,11,18,37,14,15,21,12,8,12,20,18,9,17,11,21,19,0,5,16,17,18,28,5,15,30,27,21,27,22,5,2,55,16,25,27,25,10,24,17,21,13,25,14,7,18,18,11,18,13,15,10,19,9,5,20,2,27,8,29,8,0,19,8,6,1,6,3,2,3,1,0,15,7,4,4,7,0,2,0,2,7,4,2,2,1,0,3,1,2,1,2,4,1,1,2,0,2,0,4,0,0,12,1,1,5,1,0,0,1,1,3,2,1,1,3,4,6,2,1,0,1,2,3,0,0,0,3,4,0,0,7,2,4,5,0,0,3,1,2,4,1,0,0,0,5,4,0,7,0,0,4
Hobiganj,0,28,2,29,6,12,11,65,8,22,15,23,3,11,22,0,2,16,7,6,10,6,0,22,21,4,0,4,25,12,14,9,8,5,34,0,30,24,4,18,0,8,17,19,9,11,0,18,7,17,25,7,26,3,0,23,10,8,19,1,9,5,0,6,18,9,11,0,12,0,19,8,3,8,1,8,6,7,1,5,0,3,1,5,6,2,0,5,0,3,3,1,1,0,0,0,3,1,6,2,4,5,0,2,4,2,3,2,2,0,0,3,0,8,2,5,1,8,2,3,6,5,0,6,5,2,2,2,4,0,3,2,1,0,0,1,6,0,0,0,2,4,3,4,0,0,2,1,0,12,0,4,0,0,7,4,1,8,0,1,2
Moulvibazar,0,33,0,49,0,23,21,44,38,34,0,22,30,1,28,0,0,20,0,1,16,28,23,0,0,0,5,9,10,36,11,12,30,13,8,35,51,8,6,0,22,0,27,20,24,24,21,16,12,34,31,17,1,8,31,0,3,25,4,11,11,9,6,8,9,14,16,0,0,0,16,15,2,6,0,5,0,8,4,2,0,0,10,0,7,3,1,4,3,8,2,2,4,3,1,0,2,2,8,5,1,12,0,6,0,1,1,3,0,1,0,0,4,5,2,0,3,4,2,1,6,3,0,1,4,1,1,1,1,0,1,0,3,0,0,0,0,0,4,1,1,1,2,1,1,1,1,0,7,1,0,0,2,0,7,4,3,0,0,2,0
