,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo,?
2-Jun,20.00,487.00,883.00,50.00,92.00,237.00,7541.00,97.00,2314.00,1432.00,5135.00,196.00,298.00,428.00,969.00,165.00,209.00,670.00,1019.00,574.00,354.00,418.00,244.00,1630.00,128.00,136.00,117.00,174.00,223.00,172.00,819.00,92.00,97.00,108.00,21.00
3-Jun,20.00,490.00,954.00,62.00,92.00,237.00,7623.00,97.00,2319.00,1455.00,5318.00,202.00,310.00,456.00,1033.00,165.00,209.00,685.00,1029.00,583.00,377.00,444.00,251.00,1668.00,129.00,136.00,117.00,176.00,238.00,172.00,858.00,92.00,97.00,118.00,21.00
4-Jun,20.00,510.00,965.00,72.00,92.00,237.00,7690.00,99.00,2354.00,1479.00,5408.00,202.00,316.00,469.00,1142.00,165.00,219.00,705.00,1056.00,594.00,382.00,488.00,252.00,1722.00,129.00,140.00,117.00,177.00,238.00,173.00,875.00,92.00,97.00,121.00,21.00
5-Jun,20.00,524.00,989.00,81.00,92.00,238.00,7766.00,101.00,2366.00,1537.00,5549.00,205.00,317.00,484.00,1213.00,167.00,223.00,757.00,1074.00,607.00,391.00,537.00,257.00,1776.00,136.00,141.00,117.00,178.00,254.00,175.00,918.00,92.00,97.00,121.00,21.00
6-Jun,20.00,557.00,1025.00,98.00,92.00,242.00,7870.00,103.00,2376.00,1564.00,5835.00,210.00,327.00,496.00,1247.00,168.00,227.00,798.00,1104.00,618.00,470.00,605.00,257.00,1840.00,139.00,143.00,118.00,185.00,261.00,178.00,1005.00,92.00,97.00,126.00,21.00
7-Jun,20.00,582.00,1035.00,102.00,92.00,244.00,8033.00,103.00,2404.00,1615.00,5948.00,210.00,329.00,496.00,1285.00,169.00,228.00,808.00,1129.00,626.00,495.00,605.00,259.00,1904.00,159.00,144.00,118.00,186.00,269.00,179.00,1064.00,94.00,97.00,134.00,21.00
8-Jun,20.00,594.00,1047.00,102.00,92.00,247.00,8121.00,103.00,2424.00,1642.00,6313.00,210.00,338.00,504.00,1347.00,169.00,228.00,822.00,1158.00,626.00,510.00,607.00,259.00,2014.00,159.00,145.00,118.00,186.00,307.00,179.00,1090.00,94.00,103.00,134.00,21.00
9-Jun,20.00,608.00,1061.00,121.00,92.00,249.00,8355.00,103.00,2448.00,1674.00,6533.00,234.00,351.00,522.00,1438.00,170.00,228.00,830.00,1188.00,645.00,551.00,618.00,263.00,2194.00,159.00,148.00,120.00,190.00,315.00,183.00,1108.00,94.00,103.00,139.00,21.00
10-Jun,22.00,640.00,1096.00,123.00,92.00,250.00,8503.00,105.00,2506.00,1813.00,6806.00,245.00,362.00,537.00,1565.00,170.00,228.00,857.00,1229.00,659.00,546.00,635.00,266.00,2383.00,159.00,150.00,120.00,227.00,328.00,191.00,1137.00,95.00,105.00,145.00,21.00
11-Jun,22.00,659.00,1121.00,126.00,92.00,252.00,8650.00,105.00,2551.00,1832.00,7103.00,245.00,365.00,552.00,1634.00,170.00,238.00,868.00,1271.00,661.00,579.00,680.00,272.00,2524.00,159.00,152.00,120.00,263.00,328.00,195.00,1156.00,96.00,105.00,149.00,
12-Jun,22.00,695.00,1157.00,132.00,95.00,262.00,8740.00,106.00,2572.00,1876.00,7421.00,267.00,373.00,565.00,1694.00,170.00,238.00,891.00,1304.00,671.00,644.00,768.00,277.00,2582.00,159.00,153.00,120.00,285.00,387.00,200.00,1197.00,97.00,105.00,181.00,
13-Jun,22.00,723.00,1231.00,136.00,98.00,264.00,8861.00,108.00,2587.00,1946.00,7597.00,267.00,376.00,586.00,1817.00,170.00,239.00,904.00,1326.00,674.00,651.00,862.00,279.00,2707.00,168.00,165.00,125.00,302.00,400.00,205.00,1237.00,97.00,105.00,185.00,
14-Jun,27.00,741.00,1240.00,144.00,101.00,269.00,8978.00,108.00,2604.00,2059.00,7793.00,268.00,378.00,586.00,1887.00,170.00,239.00,915.00,1396.00,681.00,658.00,872.00,283.00,2840.00,170.00,166.00,125.00,310.00,421.00,208.00,1249.00,98.00,108.00,185.00,
15-Jun,27.00,760.00,1243.00,144.00,101.00,272.00,9120.00,108.00,2623.00,2175.00,8063.00,268.00,382.00,631.00,1953.00,170.00,254.00,937.00,1448.00,681.00,676.00,932.00,286.00,2941.00,171.00,166.00,126.00,312.00,452.00,209.00,1249.00,98.00,108.00,208.00,
16-Jun,27.00,782.00,1277.00,145.00,104.00,273.00,9222.00,108.00,2662.00,2231.00,8308.00,270.00,392.00,657.00,2122.00,171.00,254.00,957.00,1498.00,687.00,701.00,957.00,291.00,3116.00,172.00,166.00,126.00,312.00,496.00,212.00,1281.00,98.00,108.00,214.00,
17-Jun,37.00,829.00,1309.00,147.00,105.00,276.00,9349.00,109.00,2703.00,2346.00,8533.00,282.00,397.00,702.00,2208.00,171.00,263.00,978.00,1541.00,691.00,736.00,970.00,292.00,3200.00,172.00,169.00,128.00,322.00,520.00,214.00,1311.00,99.00,108.00,214.00,
18-Jun,38.00,895.00,1327.00,147.00,105.00,276.00,9516.00,109.00,2758.00,2391.00,8917.00,282.00,405.00,738.00,2326.00,171.00,263.00,1008.00,1596.00,696.00,761.00,993.00,326.00,3366.00,172.00,171.00,134.00,343.00,537.00,219.00,1350.00,104.00,108.00,214.00,
19-Jun,38.00,976.00,1331.00,147.00,107.00,277.00,9655.00,112.00,2805.00,2471.00,9057.00,296.00,417.00,738.00,2392.00,173.00,263.00,1022.00,1680.00,700.00,784.00,1024.00,329.00,3573.00,173.00,172.00,142.00,383.00,544.00,222.00,1368.00,104.00,108.00,220.00,
20-Jun,39.00,1013.00,1347.00,148.00,116.00,285.00,9829.00,112.00,2828.00,2569.00,9451.00,298.00,423.00,764.00,2475.00,175.00,264.00,1051.00,1721.00,703.00,809.00,1082.00,332.00,3685.00,173.00,180.00,142.00,400.00,581.00,222.00,1380.00,104.00,108.00,220.00,
21-Jun,49.00,1050.00,1355.00,148.00,116.00,288.00,9971.00,112.00,2848.00,2668.00,9542.00,298.00,434.00,764.00,2569.00,176.00,279.00,1056.00,1779.00,707.00,853.00,1095.00,332.00,3797.00,173.00,181.00,142.00,411.00,603.00,224.00,1429.00,104.00,111.00,227.00,
22-Jun,49.00,1080.00,1361.00,148.00,116.00,288.00,10098.00,112.00,2865.00,2717.00,9857.00,298.00,435.00,785.00,2658.00,177.00,281.00,1067.00,1839.00,707.00,854.00,1115.00,334.00,3908.00,176.00,181.00,166.00,431.00,633.00,224.00,1440.00,104.00,111.00,230.00,
23-Jun,49.00,1116.00,1373.00,148.00,118.00,291.00,10250.00,114.00,2901.00,2766.00,10115.00,313.00,447.00,796.00,2685.00,177.00,281.00,1081.00,1855.00,712.00,861.00,1232.00,336.00,4062.00,179.00,181.00,193.00,465.00,634.00,224.00,1495.00,104.00,111.00,231.00,
24-Jun,53.00,1158.00,1390.00,148.00,118.00,292.00,10404.00,114.00,2945.00,2842.00,10298.00,313.00,456.00,800.00,2775.00,179.00,284.00,1102.00,1869.00,715.00,892.00,1287.00,337.00,4194.00,180.00,183.00,217.00,560.00,671.00,225.00,1554.00,105.00,111.00,238.00,
25-Jun,66.00,1214.00,1399.00,148.00,120.00,299.00,10600.00,114.00,2977.00,2920.00,10545.00,313.00,473.00,810.00,2835.00,188.00,291.00,1119.00,1893.00,717.00,938.00,1356.00,337.00,4297.00,181.00,187.00,220.00,640.00,684.00,233.00,1613.00,106.00,111.00,243.00,
26-Jun,69.00,1263.00,1414.00,148.00,124.00,302.00,10796.00,114.00,3014.00,3097.00,10901.00,313.00,483.00,817.00,2876.00,197.00,291.00,1142.00,1907.00,720.00,984.00,1370.00,341.00,4469.00,183.00,187.00,223.00,661.00,691.00,233.00,1633.00,108.00,113.00,243.00,
27-Jun,77.00,1369.00,1432.00,149.00,125.00,304.00,10994.00,117.00,3064.00,3294.00,11178.00,321.00,494.00,822.00,2930.00,201.00,291.00,1163.00,1950.00,722.00,1039.00,1447.00,343.00,4615.00,184.00,188.00,223.00,698.00,705.00,234.00,1670.00,112.00,113.00,243.00,1.00
28-Jun,79.00,1414.00,1438.00,149.00,125.00,306.00,11114.00,117.00,3091.00,3482.00,11508.00,321.00,503.00,834.00,3003.00,201.00,293.00,1199.00,2000.00,725.00,1057.00,1467.00,343.00,4807.00,186.00,188.00,224.00,719.00,711.00,236.00,1696.00,114.00,113.00,243.00,4.00
29-Jun,79.00,1444.00,1444.00,152.00,125.00,306.00,11237.00,117.00,3134.00,3680.00,11805.00,321.00,510.00,881.00,3042.00,204.00,293.00,1213.00,2023.00,725.00,1082.00,1480.00,345.00,4995.00,186.00,188.00,226.00,719.00,726.00,237.00,1699.00,114.00,113.00,243.00,4.00
30-Jun,80.00,1493.00,1453.00,152.00,125.00,313.00,11424.00,117.00,3218.00,3833.00,12136.00,321.00,518.00,894.00,3148.00,206.00,293.00,1234.00,2049.00,726.00,1109.00,1551.00,363.00,5084.00,189.00,190.00,226.00,728.00,742.00,239.00,1750.00,115.00,113.00,249.00,4.00
1-Jul,86.00,1527.00,1466.00,155.00,129.00,314.00,11637.00,117.00,3276.00,4006.00,12321.00,336.00,525.00,931.00,3223.00,206.00,302.00,1245.00,2078.00,742.00,1129.00,1601.00,405.00,5214.00,186.00,191.00,227.00,875.00,749.00,242.00,1846.00,117.00,113.00,249.00,4.00
2-Jul,86.00,1640.00,1474.00,155.00,130.00,320.00,11823.00,117.00,3344.00,4159.00,12695.00,336.00,531.00,946.00,3337.00,206.00,307.00,1260.00,2120.00,750.00,1159.00,1690.00,464.00,5379.00,186.00,193.00,228.00,940.00,762.00,244.00,1916.00,119.00,118.00,256.00,4.00
3-Jul,87.00,1706.00,1495.00,157.00,136.00,324.00,11961.00,117.00,3374.00,4293.00,13048.00,336.00,544.00,996.00,3447.00,206.00,310.00,1283.00,2156.00,760.00,1178.00,1723.00,475.00,5559.00,186.00,193.00,232.00,950.00,769.00,249.00,1942.00,120.00,118.00,261.00,4.00
4-Jul,87.00,1797.00,1508.00,161.00,137.00,325.00,12183.00,117.00,3463.00,4403.00,13461.00,336.00,557.00,1004.00,3520.00,206.00,311.00,1311.00,2205.00,762.00,1192.00,1767.00,479.00,5754.00,191.00,193.00,233.00,953.00,776.00,253.00,1984.00,124.00,118.00,269.00,2.00
5-Jul,87.00,1849.00,1513.00,163.00,141.00,331.00,12435.00,120.00,3574.00,4611.00,14013.00,339.00,584.00,1032.00,3564.00,206.00,313.00,1330.00,2255.00,775.00,1208.00,1778.00,482.00,5890.00,191.00,195.00,234.00,953.00,794.00,255.00,2021.00,124.00,118.00,269.00,2.00
6-Jul,87.00,1900.00,1525.00,169.00,141.00,339.00,12667.00,120.00,3700.00,4738.00,14321.00,339.00,597.00,1040.00,3628.00,206.00,313.00,1362.00,2326.00,775.00,1218.00,1798.00,484.00,5974.00,191.00,201.00,235.00,953.00,804.00,265.00,2027.00,124.00,118.00,271.00,2.00
7-Jul,88.00,1940.00,1531.00,171.00,144.00,346.00,12857.00,121.00,3779.00,4878.00,14601.00,344.00,603.00,1058.00,3695.00,206.00,313.00,1392.00,2356.00,780.00,1252.00,1821.00,487.00,6192.00,191.00,201.00,236.00,967.00,830.00,266.00,2057.00,127.00,118.00,276.00,2.00
8-Jul,89.00,1971.00,1544.00,171.00,151.00,349.00,13211.00,121.00,3878.00,5083.00,14967.00,344.00,617.00,1073.00,3818.00,206.00,318.00,1415.00,2419.00,780.00,1342.00,1977.00,494.00,6358.00,193.00,202.00,236.00,1037.00,837.00,266.00,2074.00,129.00,121.00,286.00,2.00
9-Jul,90.00,2024.00,1559.00,171.00,155.00,357.00,13488.00,122.00,4843.00,5203.00,15484.00,347.00,623.00,1096.00,3926.00,214.00,321.00,1444.00,2475.00,785.00,1468.00,2085.00,500.00,6488.00,193.00,203.00,238.00,1077.00,845.00,272.00,2101.00,130.00,121.00,286.00,2.00
10-Jul,90.00,2110.00,1573.00,171.00,158.00,364.00,13739.00,122.00,4951.00,5303.00,15730.00,347.00,642.00,1131.00,3990.00,214.00,321.00,1480.00,2568.00,791.00,1570.00,2197.00,507.00,6620.00,193.00,205.00,238.00,1101.00,858.00,276.00,2181.00,135.00,121.00,316.00,34.00
11-Jul,99.00,2147.00,1581.00,172.00,162.00,370.00,14113.00,122.00,5027.00,5403.00,16140.00,347.00,673.00,1157.00,4069.00,214.00,327.00,1520.00,2604.00,794.00,1637.00,2284.00,509.00,6800.00,193.00,205.00,239.00,1122.00,864.00,282.00,2204.00,138.00,121.00,345.00,34.00
12-Jul,106.00,2195.00,1593.00,172.00,163.00,371.00,14517.00,122.00,5077.00,5473.00,16658.00,350.00,690.00,1196.00,4146.00,214.00,332.00,1550.00,2653.00,800.00,1660.00,2323.00,511.00,6973.00,193.00,208.00,240.00,1130.00,874.00,286.00,2267.00,142.00,121.00,359.00,34.00
13-Jul,106.00,2257.00,1600.00,172.00,163.00,379.00,14797.00,122.00,5160.00,5573.00,16877.00,355.00,695.00,1222.00,4218.00,215.00,332.00,1573.00,2703.00,800.00,1680.00,2367.00,518.00,7097.00,193.00,209.00,243.00,1143.00,900.00,286.00,2365.00,143.00,121.00,363.00,34.00
14-Jul,110.00,2358.00,1609.00,174.00,168.00,387.00,15064.00,124.00,5235.00,5653.00,17230.00,355.00,722.00,1254.00,4379.00,215.00,337.00,1594.00,2754.00,803.00,1697.00,2497.00,521.00,7294.00,194.00,209.00,246.00,1145.00,900.00,292.00,2366.00,146.00,121.00,385.00,34.00
15-Jul,137.00,2421.00,1612.00,175.00,170.00,396.00,15324.00,125.00,5310.00,5914.00,17395.00,355.00,756.00,1254.00,4488.00,215.00,341.00,1620.00,2784.00,805.00,1741.00,2596.00,531.00,7452.00,195.00,215.00,246.00,1184.00,920.00,292.00,2426.00,152.00,121.00,392.00,34.00
16-Jul,140.00,2533.00,1629.00,175.00,171.00,404.00,15636.00,125.00,5350.00,6128.00,17574.00,359.00,780.00,1266.00,4621.00,215.00,341.00,1650.00,2832.00,806.00,1769.00,2693.00,540.00,7630.00,195.00,219.00,251.00,1221.00,926.00,296.00,2478.00,154.00,121.00,416.00,24.00
17-Jul,145.00,2619.00,1638.00,175.00,173.00,408.00,15889.00,126.00,5402.00,6366.00,17829.00,359.00,823.00,1324.00,4722.00,216.00,341.00,1671.00,2899.00,813.00,1797.00,2776.00,554.00,7713.00,195.00,220.00,256.00,1232.00,928.00,301.00,2496.00,154.00,121.00,425.00,24.00
18-Jul,145.00,2690.00,1646.00,176.00,179.00,416.00,16236.00,132.00,5461.00,6632.00,18033.00,359.00,848.00,1324.00,4829.00,216.00,344.00,1694.00,2966.00,817.00,1851.00,2923.00,575.00,7881.00,195.00,229.00,261.00,1265.00,929.00,339.00,2552.00,158.00,131.00,426.00,24.00
19-Jul,146.00,2745.00,1674.00,176.00,181.00,432.00,16538.00,132.00,5488.00,6932.00,18308.00,359.00,868.00,1399.00,4938.00,216.00,345.00,1725.00,3012.00,826.00,1898.00,2937.00,587.00,8039.00,196.00,231.00,272.00,1273.00,960.00,341.00,2601.00,159.00,131.00,432.00,24.00
20-Jul,148.00,2781.00,1682.00,180.00,181.00,438.00,16899.00,132.00,5548.00,7286.00,18545.00,359.00,893.00,1399.00,4990.00,217.00,345.00,1759.00,3054.00,828.00,1962.00,2952.00,635.00,8164.00,196.00,231.00,287.00,1287.00,979.00,368.00,2640.00,166.00,134.00,537.00,12.00
21-Jul,149.00,2856.00,1693.00,180.00,181.00,465.00,17279.00,134.00,5659.00,7407.00,18828.00,359.00,964.00,1412.00,5083.00,217.00,345.00,1777.00,3112.00,836.00,2000.00,2994.00,671.00,8257.00,196.00,232.00,310.00,1328.00,998.00,371.00,2646.00,167.00,137.00,616.00,10.00
22-Jul,151.00,2934.00,1697.00,181.00,185.00,486.00,17621.00,136.00,5741.00,7726.00,19093.00,359.00,994.00,1448.00,5216.00,217.00,349.00,1789.00,3149.00,846.00,2077.00,3163.00,685.00,8407.00,196.00,237.00,348.00,1336.00,998.00,376.00,2678.00,169.00,137.00,616.00,10.00
23-Jul,158.00,2996.00,1707.00,182.00,195.00,496.00,18068.00,136.00,5824.00,8021.00,19450.00,359.00,1034.00,1475.00,5332.00,218.00,349.00,1822.00,3165.00,849.00,2120.00,3263.00,712.00,8527.00,200.00,246.00,350.00,1345.00,1010.00,386.00,2724.00,171.00,137.00,620.00,10.00
24-Jul,162.00,3058.00,1719.00,185.00,195.00,519.00,18365.00,138.00,5915.00,8145.00,19946.00,359.00,1072.00,1520.00,5422.00,218.00,351.00,1850.00,3211.00,852.00,2162.00,3320.00,735.00,8612.00,201.00,246.00,362.00,1372.00,1010.00,387.00,2792.00,175.00,137.00,694.00,10.00
25-Jul,168.00,3114.00,1724.00,186.00,200.00,536.00,18741.00,139.00,5988.00,8336.00,20256.00,365.00,1134.00,1587.00,5540.00,266.00,354.00,1883.00,3228.00,864.00,2216.00,3371.00,752.00,8748.00,201.00,247.00,367.00,1409.00,1016.00,388.00,2832.00,187.00,137.00,796.00,10.00
26-Jul,168.00,3157.00,1738.00,188.00,200.00,543.00,19125.00,139.00,6039.00,8412.00,20539.00,365.00,1166.00,1632.00,5656.00,266.00,355.00,1903.00,3251.00,869.00,2263.00,3390.00,768.00,8881.00,202.00,250.00,378.00,1441.00,1046.00,392.00,2889.00,192.00,145.00,820.00,10.00
27-Jul,168.00,3219.00,1748.00,191.00,200.00,558.00,19592.00,139.00,6084.00,8622.00,20812.00,365.00,1184.00,1653.00,5689.00,266.00,355.00,1926.00,3275.00,869.00,2313.00,3438.00,769.00,8991.00,202.00,252.00,382.00,1455.00,1046.00,396.00,2945.00,193.00,145.00,851.00,10.00
28-Jul,193.00,3249.00,1757.00,191.00,210.00,572.00,19995.00,139.00,6218.00,8807.00,21125.00,381.00,1250.00,1677.00,5782.00,268.00,362.00,1946.00,3296.00,874.00,2357.00,3518.00,769.00,9123.00,206.00,252.00,409.00,1493.00,1068.00,397.00,2962.00,195.00,145.00,855.00,10.00
29-Jul,238.00,3310.00,1772.00,193.00,212.00,587.00,20572.00,154.00,6314.00,9120.00,21484.00,381.00,1307.00,1677.00,5884.00,268.00,370.00,1986.00,3330.00,891.00,2415.00,3759.00,776.00,9251.00,207.00,252.00,415.00,1524.00,1069.00,413.00,2988.00,201.00,145.00,957.00,10.00
30-Jul,312.00,3360.00,1801.00,193.00,214.00,610.00,20969.00,156.00,6461.00,9281.00,21772.00,381.00,1377.00,1701.00,5970.00,280.00,370.00,2022.00,3387.00,907.00,2502.00,3827.00,782.00,9346.00,207.00,255.00,426.00,1530.00,1093.00,430.00,3021.00,223.00,145.00,1015.00,10.00
31-Jul,415.00,3407.00,1835.00,193.00,217.00,674.00,21399.00,162.00,6532.00,9516.00,22089.00,387.00,1426.00,1729.00,6098.00,283.00,447.00,2065.00,3417.00,948.00,2580.00,3931.00,782.00,9422.00,207.00,255.00,445.00,1530.00,1093.00,433.00,3059.00,230.00,145.00,1015.00,10.00
1-Aug,415.00,3448.00,1858.00,193.00,218.00,741.00,21767.00,168.00,6584.00,9659.00,22324.00,387.00,1433.00,1760.00,6160.00,284.00,491.00,2065.00,3427.00,948.00,2648.00,3962.00,787.00,9552.00,207.00,255.00,446.00,1543.00,1124.00,451.00,3087.00,232.00,145.00,1157.00,10.00
2-Aug,431.00,3488.00,1870.00,193.00,235.00,760.00,22144.00,169.00,6637.00,9732.00,22504.00,387.00,1516.00,1777.00,6192.00,284.00,493.00,2115.00,3444.00,957.00,2668.00,4136.00,787.00,9647.00,213.00,271.00,456.00,1557.00,1135.00,460.00,3114.00,238.00,151.00,1284.00,10.00
3-Aug,433.00,3529.00,1891.00,196.00,235.00,772.00,22616.00,169.00,6693.00,9827.00,22982.00,387.00,1538.00,1791.00,6238.00,284.00,493.00,2150.00,3455.00,974.00,2746.00,4193.00,789.00,9744.00,213.00,297.00,506.00,1562.00,1135.00,460.00,3114.00,239.00,151.00,1322.00,10.00
4-Aug,440.00,3578.00,1924.00,196.00,238.00,784.00,23026.00,188.00,6787.00,9887.00,23412.00,387.00,1598.00,1844.00,6357.00,287.00,493.00,2171.00,3490.00,987.00,2776.00,4261.00,859.00,9861.00,213.00,297.00,577.00,1568.00,1146.00,471.00,3164.00,241.00,151.00,1387.00,10.00
5-Aug,442.00,3617.00,1947.00,197.00,239.00,801.00,23380.00,193.00,6912.00,10036.00,23829.00,387.00,1665.00,1849.00,6411.00,287.00,500.00,2197.00,3553.00,1006.00,2794.00,4391.00,892.00,9987.00,215.00,298.00,606.00,1575.00,1175.00,481.00,3175.00,245.00,152.00,1427.00,10.00
